id,name,description,period,uri,viewerUrl,user.displayName,user.profileUrl,license.fullName,vertexCount,tags
a049baa005da476bb7ffe1df5e6b4f78,2000020,"Id 2000020. Polokulovitá nádoba s oblou horní výdutí.Kultura LBK.(2d).Kontext 1.Lokalita Bylany (Czech Republic). Průměr okraje 

Id 2000020. Hemispherical vessel with rounded upper swell.LBK culture (2d). Context 1. Bylany site (Czech Republic). Rim diameter",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/a049baa005da476bb7ffe1df5e6b4f78,https://sketchfab.com/3d-models/2000020-a049baa005da476bb7ffe1df5e6b4f78,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,245002,[]
836630c9eb6344878f5b3e72aaa37f8b,2001130,"Id 2001130. Miska s rovným okrajem. Kultura LBK. Kontext 4. Lokalita Bylany (Czech Republic). Průměr okraje

Id 2001130. Bowl with straight rim. LBK culture. Context 4.  Bylany site (Czech Republic). Rim diameter",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/836630c9eb6344878f5b3e72aaa37f8b,https://sketchfab.com/3d-models/2001130-836630c9eb6344878f5b3e72aaa37f8b,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,245002,[]
77d11d8ec01e424e829b9914c388b0a1,2002770,"Id 2002770. Část láhve. Kultura LBK (2c). Kontext 10. Lokalita Bylany (ČR). Průměr okraje 

Id 2002770. Part of bottle. LBK culture (2c). Context 10. Bylany site (Czech Republic). Rim diameter ",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/77d11d8ec01e424e829b9914c388b0a1,https://sketchfab.com/3d-models/2002770-77d11d8ec01e424e829b9914c388b0a1,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,249998,[]
c9c8bce4d27a4fef88622682bf2741b1,2003270,"Id 2003270. Polokulovitá nádoba s oblou horni výdutí. Kultura LBK (3a). Kontext 11. Lokalita Bylany (ČR). Průměr okraje 16 cm.

Id 2003270. Hemispherical vessel with rounded upper swell. LBK culture (3a). Context 11. Bylany site (Czech Republic). Rim diameter 16 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/c9c8bce4d27a4fef88622682bf2741b1,https://sketchfab.com/3d-models/2003270-c9c8bce4d27a4fef88622682bf2741b1,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,250002,[]
991d3fd5aab643609819ade2a1df1eb2,2008960,"Id 2008960. Láhev s rovným hrdlem. Kultura LBK. Kontext 37. Lokalita Bylany (Czech Republic). Průměr okraje 11 cm.

Id 2008960. Bottle with straight neck. LBK culture. Context 37. Bylany site (Czech Republic). Rim diameter 11 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/991d3fd5aab643609819ade2a1df1eb2,https://sketchfab.com/3d-models/2008960-991d3fd5aab643609819ade2a1df1eb2,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,178276,[]
89fdc50c378c4b8ea4348f673318a179,2008980,"Id 2008980. Polokulovitá nádoba s rovným až mírně uzavřeným okrajem. Kultura LBK (2d). Kontext 36. Lokalita Bylany (Czech Republic). Průměr okraje 5 cm.

Id 2008980. Hemispherical vessel with straight to slightly closed rim. LBK culture (2d). Context 36. Bylany site (Czech Republic). Rim diameter 5 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/89fdc50c378c4b8ea4348f673318a179,https://sketchfab.com/3d-models/2008980-89fdc50c378c4b8ea4348f673318a179,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,245002,[]
f5a96c73c0eb49a1b787ae258eb02891,2011930,"Id 201930. Široká miska (talíř). Kultura LBK.(3a). Kontext 11. Lokalita Bylany (Czech Republic). Průměr okraje 16 cm.

Id 2011930. Wide bowl (plate). LBK culture (3a). Context 11. Bylany (Czech Republic). Rim diameter 16 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/f5a96c73c0eb49a1b787ae258eb02891,https://sketchfab.com/3d-models/2011930-f5a96c73c0eb49a1b787ae258eb02891,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,243126,[]
ab333c7e6d0f41cbafbbc36b634488a5,2012230,"Id 2012230. Polokulovitá nádoba s oblou horní výdutí. Kultura LBK. Kontext  41. Lokalita Bylany (Czech Republic). Průměr okraje 15 cm.

Id 2012230. Hemispherical vessel with rounded upper swell. LBK culture. Context 41. Bylany site (Czech Republic). Rim diameter 15 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/ab333c7e6d0f41cbafbbc36b634488a5,https://sketchfab.com/3d-models/2012230-ab333c7e6d0f41cbafbbc36b634488a5,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,250002,[]
fbe2776af5f44d83bb32e6633d151178,2023781,"Id 203781. Široká oblá miska na 4 nožkách. Kultura LBK. Kontext 63. Lokalita Bylany (Czech Republic). Průměr okraje 17 cm.

Id 2023781. Wide rounded four-footed bowl. LBK culture. Context 63. Bylany site (Czech Republic). Rim diameter 17 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/fbe2776af5f44d83bb32e6633d151178,https://sketchfab.com/3d-models/2023781-fbe2776af5f44d83bb32e6633d151178,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,250001,[]
72aba513c29241a3a0843a14dba596a5,2028260,"Id 208260. Polokulovitá nádoba s oblou horní výdutí. Kultura LBK. Kontext 78 (2d). Lokalita Bylany (Czech Republic). Průměr okraje 9 cm.

Id 2028260. Hemispherical vessel with rounded upper swell. LBK culture (2d). Context 78. Bylany site (Czech Republic). Rim diameter 9 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/72aba513c29241a3a0843a14dba596a5,https://sketchfab.com/3d-models/2028260-72aba513c29241a3a0843a14dba596a5,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,250008,[]
7bbe7a566f074896b9cffea1e353275a,2033260,"Id 2033260. Polokulovitá nádoba s oblou horní výdutí. Kultura LBK(2b). Kontext 90. Lokalita Bylany (Czech Republic). Průměr okraje 12 cm.

Id 2033260. Hemispherical vessel with rounded upper swell. LBK culture (2b). Context 90. Bylany site (Czech Republic). Rim diameter 12 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/7bbe7a566f074896b9cffea1e353275a,https://sketchfab.com/3d-models/2033260-7bbe7a566f074896b9cffea1e353275a,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,250002,[]
036abe36af224e588d3f573f44c24ab3,2033270,"Id 2033270. Polokulovitá nádoba s oblou horní výdutí. Kultura LBK (2b). Kontext 90. Lokalita Bylany (Czech Republic). Průměr okraje 7 cm.

Id 2033270. Hemispherical vessel with rounded upper swell. LBK culture (2b). Context 90. Bylany site (Czech Republic). Rim diameter 7 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/036abe36af224e588d3f573f44c24ab3,https://sketchfab.com/3d-models/2033270-036abe36af224e588d3f573f44c24ab3,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,250000,[]
3af9453ca5694a3aae66a05f27d94881,2033280,"Id 2033280. Miska s rovným okrajem. Kultura LBK (2b). Kontext 90. Lokalita Bylany (Czech Republic). Průměr okraje 17 cm.

Id 2033280. Bowl with straight rim. LBK culture (2b). Context 90. Bylany site (Czech Republic). Rim diameter 17 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/3af9453ca5694a3aae66a05f27d94881,https://sketchfab.com/3d-models/2033280-3af9453ca5694a3aae66a05f27d94881,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,250002,[]
c7c762e635ab4403b7363860665009ac,2039350,"Id 2039350. Polokulovitá nádoba s oblou horní výdutí. Kultura LBK (3a). Kontext 93c. Lokalita Bylany (Czech Republic). Průměr okraje 5 cm.

Id 2039350. Hemispherical vessel with rounded upper swell. LBK culture (3a). Context 93c. Bylany site (Czech Republic). Rim diameter 5 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/c7c762e635ab4403b7363860665009ac,https://sketchfab.com/3d-models/2039350-c7c762e635ab4403b7363860665009ac,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,249999,[]
07ad36c0658e4eafa91f0137e49fad58,2039360,"Id 2039360. Polokulovitá nádoba s oblou horní výdutí. Kultura LBK (3a). Kontext 93d. Lokalita Bylany (Czech Republic). Průměr okraje 5 cm.

Id 2039360.  Hemispherical vessel with rounded upper swell. LBK culture (3a). Context 93d. Bylany site (Czech Republic). Rim diameter 5 cm.",Neolithic Linear Pottery Culture (LBK),https://api.sketchfab.com/v3/models/07ad36c0658e4eafa91f0137e49fad58,https://sketchfab.com/3d-models/2039360-07ad36c0658e4eafa91f0137e49fad58,Archaeological 3D virtual museum,https://sketchfab.com/archaeo3d,Creative Commons Attribution,250002,[]
